time,value
0.0,79.31808803477523
4.0,107.64980540215149
8.0,134.99264780851163
12.0,161.36534314086418
16.0,186.78661928621761
20.0,211.27520413158047
24.0,234.8498255639612
28.0,257.5292114703683
32.0,279.3320897378104
36.0,300.27718825329583
40.0,320.3832349038332
44.0,339.668957576431
48.0,358.1530841580977
52.0,375.85434253584185
56.0,392.79146059667187
60.0,408.98316622759637
64.0,424.44818731562384
68.0,439.20525174776265
72.0,453.2730874110214
76.0,466.67042219240875
80.0,479.4159839789329
84.0,491.52850065760254
88.0,503.026700115426
92.0,513.9293102394122
96.0,524.2550589165692
100.0,534.0226740338435
104.0,543.5273771447827
108.0,552.4585097464758
112.0,560.8427493871395
116.0,568.7064988096184
120.0,576.0755087978945
124.0,582.9745525587177
128.0,589.42715595558
132.0,595.4553870932499
136.0,601.0797077559864
140.0,606.3188879741108
144.0,611.1899835062136
148.0,615.7083743263735
152.0,619.8878604314124
156.0,623.7408096018954
160.0,627.2783502953332
164.0,630.5106016885658
168.0,633.4469320396103
172.0,636.0962360070642
176.0,638.4672213374283
180.0,640.5686953918016
184.0,642.4098423141376
188.0,644.0004822210608
192.0,645.3513045905923
196.0,646.4740690119351
200.0,647.3817675959118
204.0,648.0887445996946
208.0,648.6107701538109
212.0,648.9650663584258
216.0,649.1702854054853
220.0,649.2464407500324
224.0,649.2147936638964
228.0,649.0976987234648
232.0,648.9184128777888
236.0,648.7008736858759
240.0,648.4694530805147
244.0,648.248693593933
248.0,648.0630343566104
252.0,647.9365343472962
256.0,647.8926003261832
260.0,647.9537266256939
264.0,648.1412535120862
268.0,648.4751501806637
272.0,648.9738276291026
276.0,649.6539856938083
280.0,650.5304974621037
284.0,651.6163331181917
288.0,652.9225240754718
292.0,654.4581670307296
296.0,656.2304663945902
300.0,658.2448124588151
304.0,660.5048916972896
308.0,663.0128247892602
312.0,665.7693273098376
316.0,668.7738875538678
320.0,672.0249556405098
324.0,675.5201378823351
328.0,679.2563903906839
332.0,683.2302060242399
336.0,687.4377890632019
340.0,691.8752123967879
344.0,696.5385525343721
348.0,701.4239983749651
352.0,706.5279303781789
356.0,711.8469675530251
360.0,717.3779804999615
364.0,723.1180695888819
368.0,729.0645082154972
372.0,735.2146519362977
376.0,741.565815124178
380.0,748.1151175993587
384.0,754.8593044598944
388.0,761.7945430489285
392.0,768.9162016384012
396.0,776.2186149687947
400.0,783.6948422509944
404.0,791.336423600422
408.0,799.1331411279315
412.0,807.0727910508363
416.0,815.140973206627
420.0,823.3209042485181
424.0,831.5932605738052
428.0,839.9360566816473
432.0,848.3245641768616
436.0,856.7312760349232
440.0,865.1259200292473
444.0,873.4755244068571
448.0,881.7445379964976
452.0,889.8950059591828
456.0,897.8868013617584
460.0,905.6779116877053
464.0,913.2247783158073
468.0,920.4826859169789
472.0,927.4061976633193
476.0,933.9496311330327
480.0,940.067568854246
484.0,945.7153965865166
488.0,950.8498617168102
492.0,955.4296435670104
496.0,959.4159269816258
500.0,962.7729702810105
504.0,965.4686585061397
508.0,967.4750328190751
512.0,968.7687869380427
516.0,969.3317215670471
520.0,969.1511479229805
524.0,968.2202316647291
528.0,966.5382687845118
532.0,964.1108853270853
536.0,960.9501531599683
540.0,957.0746144676941
544.0,952.5092083220419
548.0,947.2850938416439
552.0,941.4393663698345
556.0,935.014665899509
560.0,928.0586805589768
564.0,920.623552018426
568.0,912.7651936974112
572.0,904.5425361555657
576.0,896.0167167088388
580.0,887.2502320381976
584.0,878.3060733983368
588.0,869.2468640864132
592.0,860.1340181912504
596.0,851.0269383995586
600.0,841.9822688743163
604.0,833.0532170494657
608.0,824.2889557488706
612.0,815.7341144953481
616.0,807.4283663570845
620.0,799.4061142642048
624.0,791.6962784623112
628.0,784.322184676475
632.0,777.3015506443882
636.0,770.6465669353802
640.0,764.3640664020393
644.0,758.4557752235783
648.0,752.9186373083284
652.0,747.7452028424223
656.0,742.9240710250427
660.0,738.4403765357199
664.0,734.2763090332261
668.0,730.4116549600517
672.0,726.8243510720031
676.0,723.4910393742141
680.0,720.3876134851139
684.0,717.4897468526742
688.0,714.7733937006882
692.0,712.2152540743791
696.0,709.7931948875145
700.0,707.4866194730688
704.0,705.2767788411402
708.0,703.147018679436
712.0,701.0829571092813
716.0,699.0725893414532
720.0,697.1063166623757
724.0,695.1768986164079
728.0,693.2793288324149
732.0,691.4106366984533
736.0,689.5696190746255
740.0,687.7565085128745
744.0,685.9725870432973
748.0,684.2197573943203
752.0,682.5000862662029
756.0,680.8153365609242
760.0,679.1665068659296
764.0,677.5533967017058
768.0,675.9742150131831
772.0,674.4252473211227
776.0,672.9005942163903
780.0,671.391990804578
784.0,669.8887134980796
788.0,668.3775773426572
792.0,666.8430239674843
796.0,665.2672973553599
800.0,663.6307020194279
804.0,661.9119359096388
808.0,660.0884885056275
812.0,658.1370930930733
816.0,656.0342211326405
820.0,653.7566058678976
824.0,651.2817818559191
828.0,648.5886269304843
832.0,645.6578932188811
836.0,642.4727142393284
840.0,639.0190758154257
844.0,635.2862395377052
848.0,631.2671087436069
852.0,626.9585284407004
856.0,622.3615122143171
860.0,617.4813908621464
